destination_name;total_reviews;destination_rating;review_date;review_rating;review_header;review_author;review_text
Disney Springs - Orlando;12653;45;15 de outubro de 2019;5;Centro de entretenimento imperdível!;Silvia R;Estacionamento gratuito, enorme variedade de restaurantes,lojas e cinema. Considero a Disney Springs um destino obrigatório para quem está em Orlando. O passeio é agradabilíssimo. Os grandes destaques são a loja da Uniqlo (que eu amo!), a loja da Coca-Cola e a loja de chocolates Girardhelly. O cinema também é excelente (leve blusa de frio). Há também uma loja de chapéus exóticos super interessante. Um passeio para toda a família.
Disney Springs - Orlando;12653;45;9 de outubro de 2019;5;Imperdível;Papis53;Excelente atração gratuita para qualquer hora, com excelente programação para o dia ou noite. Muitas lojas, bares, restaurantes, sorveterias, docerias, cafés, atrações, música ao vivo, alegria. Loja da NBA, LEGO,
Disney Springs - Orlando;12653;45;9 de outubro de 2019;3;Local para passeio noturno;rafaelsantana1982;Possui diversas lojas e algumas opções de restaurantes e bares. Possui banheiros e bebedouros. Fácil localização
Disney Springs - Orlando;12653;45;7 de outubro de 2019;4;Férias;wandinhoc;Um passeio interessante imperdível no que seria a entrada da Disney com vários restaurantes lojas e atrações. E como se fosse citywalk da universal. Mesmo conceito , porém mais “ chique” . Estacionamento gratuito vale a pena conhecer .
Disney Springs - Orlando;12653;45;6 de outubro de 2019;4;Alto astral;aryba2019;Melhor atração da Disney. Ambiente legal, estacionamento ágil, boas opções de comida e de entretenimento. Lojas da Disney iguais as dos parques pagos. Recomendo ir pela manhã pois é mais tranquilo.
Disney Springs - Orlando;12653;45;4 de outubro de 2019;5;Lugar Incrível;renciobf;Local ótimo para dar uma relaxada da rotina dos parques. Muitas opções de gastronomia e drinks com uma vista linda! Recomendo demais! Opções e preços para todos os bolsos! E o melhor é que quem está hospedados nos resorts Disney também tem direito a transporte.
Disney Springs - Orlando;12653;45;2 de outubro de 2019;5;Muito bom para passeio, principalmente a noite;Marcos K;Muitas lojas para passear e comprar. Não tinha shopping aberto, foi uma das alternativas para sair de noite.
Disney Springs - Orlando;12653;45;2 de outubro de 2019;5;Ótima opção de passeio;tassipelomundo;Ótimo lugar pra passear a noite, repleto de lojas, restaurantes e bares. Vale super a pena visitar pelo menos durante uma noite durante a estada em Orlando.
Disney Springs - Orlando;12653;45;26 de setembro de 2019;5;Maravilhoso;ilcemaras;Complexo de entretenimento da Disney que fica bem perto dos parques. Inclusive dos hotéis há trasporte para o local. É uma excelente opção para jantar ou simplesmente passear.
Disney Springs - Orlando;12653;45;22 de setembro de 2019;5;Passeio agradável;Jussara F;Adorei o passeio pela Disney Spring. Agradabilíssimo. Lugar com muita música, lugares bons para comer, muitas lojas para comprar, atração da NBA, passeio de balão, ou seja, vale muito a pena passear por lá. Recomendo ir em um final de tarde.
